origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Shariatpur,BD3086,Sirajganj,BD5088,False,151.51266675813474,151.51266675813474,151.51266675813474,151.51266675813474,3357706,1294562,85427978,0.0005564215845110834,146.2664706843025,5.020669230418975,15.026768560672359
Shariatpur,BD3086,Sunamganj,BD6090,False,210.76626089159737,210.76626089159737,210.76626089159737,210.76626089159737,2695496,1294562,127904539,0.00020477411114848548,60.678733810670686,5.3507497511610005,14.80709278991802
Shariatpur,BD3086,Sylhet,BD6091,False,245.4566326167065,245.4566326167065,245.4566326167065,245.4566326167065,3857123,1294562,134471475,0.000263413324210581,64.0197456738773,5.503120282411146,15.16543212675189
Shariatpur,BD3086,Tangail,BD3093,False,130.16485057330155,130.16485057330155,130.16485057330155,130.16485057330155,4037608,1294562,70593886,0.0009576284905733196,238.30694758798333,4.868801728452596,15.2111629953813
Shariatpur,BD3086,Thakurgaon,BD5594,False,369.4738551987249,369.4738551987249,369.4738551987249,369.4738551987249,1533895,1294562,161150316,7.454608357546957e-05,11.236426296760637,5.912079980641881,14.243320810065981
Sherpur,BD4589,Bagerhat,BD4001,False,303.53536064638934,303.53536064638934,303.53536064638934,303.53536064638934,1613076,1501853,142055377,0.00011624636833445824,17.50798822288737,5.715498113256136,14.293653473170336
Sherpur,BD4589,Bandarban,BD2003,False,432.6060434919482,432.6060434919482,432.6060434919482,432.6060434919482,481106,1501853,160352389,2.7499893820090464e-05,2.5707249269192034,6.069827483583069,13.08384289902944
Sherpur,BD4589,Barguna,BD1004,False,327.0738825377399,327.0738825377399,327.0738825377399,327.0738825377399,1010531,1501853,149524807,6.60957617611594e-05,9.446216788619363,5.790186085858932,13.825986493237492
Sherpur,BD4589,Barishal,BD1006,False,253.96007095425318,253.96007095425318,253.96007095425318,253.96007095425318,2570446,1501853,127085786,0.00022889780164192484,39.85452203794247,5.537177053693663,14.759589982670962
Sherpur,BD4589,Bhola,BD1009,False,312.6826369264689,312.6826369264689,312.6826369264689,312.6826369264689,1932518,1501853,143668453,0.00013591023760424495,19.76587370670498,5.745188736623685,14.474334373759973
Sherpur,BD4589,Bogura,BD5010,False,75.76803253706541,75.76803253706541,75.76803253706541,75.76803253706541,3734297,1501853,10960976,0.027783162899594697,650.4843248486162,4.327676469353881,15.133070139288687
Sherpur,BD4589,Brahmanbaria,BD2012,False,161.8253433362355,161.8253433362355,161.8253433362355,161.8253433362355,3306563,1501853,85737601,0.0006286688446758261,126.26521643790909,5.086517626080709,15.011419839295048
